GDP (Billions),Gold Medals,Gold Medals Male,Gold Medals Female
42,15,15,0
153,3,3,0
307,15,14,1
6,2,2,0
251,19,4,15
10,7,7,0
429,16,9,7
45,3,3,0
13,5,5,0
353,6,6,0
327,3,3,0
59,0,0,0
3,0,0,0
0,0,0,0
45,4,4,0
42,1,0,1
70,3,3,0
274,0,0,0
632,14,7,7
4,0,0,0
33,5,3,2
117,0,0,0
50,2,2,0
4530,1,0,1
5700,0,0,0
1,0,0,0
4,0,0,0
1,0,0,0
2,0,0,0
529,0,0,0
617,0,0,0
1,0,0,0
118,0,0,0
168,0,0,0
41,8,2,6
471,3,0,3
21,0,0,0
10,0,0,0
7,0,0,0
0,0,0,0
226,1,0,1
1,0,0,0
4,0,0,0
9,0,0,0
4,0,0,0
25,8,5,3
1,0,0,0
119,1,1,0
62,2,1,1
71,4,3,1
2,0,0,0
12,0,0,0
72,0,0,0
462,0,0,0
2,0,0,0
2130,1,1,0
57,0,0,0
10,3,2,1
174,0,0,0
20,0,0,0
25,0,0,0
4,0,0,0
4,0,0,0
237,0,0,0
13,5,3,2
10,0,0,0
46,1,0,1
4,0,0,0
9,0,0,0
1,0,0,0
136,2,1,1
25,1,1,0
24,0,0,0
84,1,1,0
15,0,0,0
330,5,5,0
272,1,0,1
7,4,4,0
5,5,5,0
0,0,0,0
0,0,0,0
22,0,0,0
128,12,6,6
126,12,1,11
30,0,0,0
42,0,0,0
46,0,0,0
124,0,0,0
6,0,0,0
1,0,0,0
37,0,0,0
1830,0,0,0
22,0,0,0
53,0,0,0
545,4,3,1
76,23,0,23
7,1,0,1
1270,4,1,3
133,4,2,2
2,0,0,0
4,0,0,0
236,3,1,2
207,4,2,2
195,1,1,0
9,2,2,0
1,0,0,0
4,3,3,0
4600,74,34,40
2,0,0,0
9,0,0,0
864,0,0,0
163,0,0,0
236,0,0,0
281,2,1,1
238,0,0,0
0,0,0,0
52,0,0,0
396,6,6,0
4,0,0,0
11,0,0,0
8,0,0,0
19,0,0,0
36,1,1,0
5,0,0,0
97,0,0,0
78,0,0,0
6,0,0,0
6,0,0,0
38,0,0,0
148,0,0,0
6,0,0,0
2,0,0,0
267,0,0,0
242,2,2,0
0,0,0,0
1,0,0,0
8,0,0,0
23,0,0,0
10,9,9,0
194,0,0,0
275,0,0,0
291,2,1,1
398,0,0,0
49,0,0,0
4,0,0,0
10,0,0,0
21,0,0,0
28,0,0,0
0,0,0,0
2,0,0,0
24,0,0,0
39,0,0,0
18,0,0,0
21,0,0,0
61,1,1,0
55,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
7,0,0,0
8,0,0,0
193,0,0,0
3,0,0,0
0,0,0,0
28,5,5,0
1,0,0,0
2,0,0,0
158,16,14,2
18,0,0,0
14,0,0,0
508,0,0,0
1110,0,0,0
218,3,3,0
6,0,0,0
8,0,0,0
21,0,0,0
36,0,0,0
2,0,0,0
22,1,1,0
9,3,3,0
19,0,0,0
1,0,0,0
94,0,0,0
98,0,0,0
12,0,0,0
7,0,0,0
42,0,0,0
20,0,0,0
2,0,0,0
3,0,0,0
5,2,2,0
1,3,3,0
1,0,0,0
6,0,0,0
5,0,0,0
554,3,3,0
17,0,0,0
6,1,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,1,1,0
0,0,0,0
499,18,11,7
158,2,2,0
1,0,0,0
204,2,1,1
10,0,0,0
578,3,1,2
0,0,0,0
31,0,0,0
6,0,0,0
17,0,0,0
0,0,0,0
0,0,0,0
7,0,0,0
18,0,0,0
17,1,0,1
2,0,0,0
3,0,0,0
0,0,0,0
1,0,0,0
5,0,0,0
9,0,0,0
5,0,0,0
6,0,0,0
263,0,0,0
219,0,0,0
321,0,0,0
60,0,0,0
104,0,0,0
17,0,0,0
1260,0,0,0
8,0,0,0
82,4,2,2
68,1,1,0
2,0,0,0
11,0,0,0
7,0,0,0
4,0,0,0
5,0,0,0
0,0,0,0
0,0,0,0
60,0,0,0
6,1,1,0
1,0,0,0
7,2,2,0
43,2,2,0
25,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
10,0,0,0
3,0,0,0
2,1,1,0
2,0,0,0
10,0,0,0
13,2,2,0
1,0,0,0
1,1,1,0
31,0,0,0
552,0,0,0
772,0,0,0
2,0,0,0
5,0,0,0
1,0,0,0
1,0,0,0
4,0,0,0
18,0,0,0
1,0,0,0
4120,0,0,0
5,0,0,0
10,0,0,0
21,0,0,0
6,0,0,0
14,0,0,0
10500,3,0,3
5,0,0,0
13,0,0,0
2,0,0,0
260,24,10,14
27,0,0,0
3,0,0,0
1,0,0,0
57,3,2,1
1,0,0,0
90,1,0,1
35,0,0,0
1,0,0,0
34,0,0,0
51,7,5,2
4,0,0,0
71,0,0,0
10,0,0,0
71,0,0,0
20,0,0,0
1,0,0,0
44,0,0,0
4,0,0,0
8,0,0,0
6,2,2,0
562,12,6,6
21,0,0,0
37,0,0,0
2,0,0,0
0,0,0,0
10,0,0,0
16,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
62,0,0,0
125,0,0,0
7,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
53,1,0,1
30,0,0,0
101,1,0,1
3,0,0,0
3,0,0,0
5,0,0,0
12,0,0,0
14,0,0,0
207,2,0,2
208,2,0,2
67,4,3,1
19,0,0,0
255,4,3,1
8,0,0,0
11,0,0,0
2,0,0,0
6,0,0,0
82,1,1,0
155,1,0,1
90,3,3,0
28,1,1,0
172,7,5,2
27,0,0,0
154,0,0,0
3,0,0,0
6,0,0,0
0,0,0,0
0,0,0,0
49,0,0,0
68,0,0,0
5,0,0,0
1,0,0,0
11,0,0,0
8,0,0,0
0,0,0,0
1,0,0,0
526,0,0,0
4,0,0,0
4,1,0,1
71,4,4,0
8,0,0,0
1,0,0,0
116,3,3,0
21,1,1,0
0,0,0,0
191,0,0,0
16,0,0,0
1,0,0,0
15,0,0,0
5,0,0,0
1,0,0,0
18,0,0,0
219,0,0,0
261,0,0,0
9,0,0,0
160,7,6,1
16,1,1,0
1,0,0,0
5,13,13,0
50,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
323,0,0,0
400,0,0,0
21,0,0,0
23,0,0,0
8,0,0,0
11,0,0,0
14,0,0,0
1,0,0,0
4,0,0,0
4,0,0,0
1,0,0,0
229,4,4,0
4,0,0,0
1,0,0,0
1,0,0,0
12,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
7,0,0,0
121,0,0,0
1,0,0,0
222,0,0,0
69,0,0,0
4,0,0,0
7,0,0,0
7,0,0,0
100,4,3,1
93,0,0,0
0,0,0,0
1,0,0,0
7,0,0,0
20,0,0,0
201,0,0,0
3,0,0,0
9,0,0,0
7,0,0,0
6,0,0,0
3,0,0,0
2,0,0,0
17,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
45,1,0,1
1,0,0,0
21,1,0,1
15,1,0,1
16,0,0,0
10,0,0,0
12,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
237,0,0,0
40,0,0,0
48,0,0,0
50,2,0,2
10,0,0,0
392,11,10,1
0,0,0,0
1,0,0,0
14,0,0,0
27,0,0,0
10,0,0,0
13,0,0,0
34,0,0,0
35,0,0,0
3,0,0,0
395,2,1,1
1,0,0,0
1,0,0,0
100,1,0,1
4,0,0,0
7,0,0,0
0,0,0,0
465,3,3,0
112,0,0,0
5,0,0,0
13,3,3,0
4,0,0,0
13,0,0,0
12,0,0,0
257,0,0,0
2,0,0,0
1140,0,0,0
121,0,0,0
0,0,0,0
3,0,0,0
258,0,0,0
56,0,0,0
1,0,0,0
8,1,1,0
0,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
15,0,0,0
131,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19,0,0,0
4,0,0,0
10,0,0,0
1,0,0,0
0,0,0,0
117,0,0,0
140,0,0,0
43,0,0,0
880,13,7,6
6,0,0,0
371,1,0,1
4,0,0,0
56,1,1,0
1,0,0,0
1,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
1,1,1,0
3,0,0,0
2,0,0,0
4,0,0,0
1,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
11,0,0,0
0,0,0,0
21,0,0,0
2,0,0,0
1,0,0,0
177,0,0,0
179,0,0,0
479,1,0,1
336,16,14,2
1,0,0,0
2460,0,0,0
8,0,0,0
3,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
1,0,0,0
3,0,0,0
14,0,0,0
8,0,0,0
49,0,0,0
9,0,0,0
17,0,0,0
13,0,0,0
9,0,0,0
7,0,0,0
4,0,0,0
246,0,0,0
15,0,0,0
67,0,0,0
19,0,0,0
10,0,0,0
0,0,0,0
836,4,2,2
2,0,0,0
3,0,0,0
0,0,0,0
16,0,0,0
91,0,0,0
93,0,0,0
111,0,0,0
3,0,0,0
56,0,0,0
25,1,1,0
1,0,0,0
345,0,0,0
4,0,0,0
5,0,0,0
2,0,0,0
22,0,0,0
5,0,0,0
6,0,0,0
4,0,0,0
4,0,0,0
12,0,0,0
14,0,0,0
13,0,0,0
26,0,0,0
22,0,0,0
24,0,0,0
5,0,0,0
12,0,0,0
2,0,0,0
58,0,0,0
16,1,1,0
